YDR477W	YGL115W
YMR309C	YNL244C
YDL140C	YOR151C
YGR083C	YOR260W
YGR104C	YLR071C
YER171W	YIL143C
YHL025W	YOR290C
YLL036C	YMR213W
YGR005C	YGR186W
YDL235C	YIL147C
YDR448W	YMR223W
YDR092W	YGL087C
YDR145W	YDR167W
YGL238W	YNL189W
YBR188C	YLL036C
YBR198C	YDR176W
YER133W	YKL193C
YBL050W	YOR106W
YFR036W	YKL022C
YER022W	YHR058C
YKL196C	YMR197C
YMR309C	YOR361C
YDL159W	YGR040W
YLR234W	YMR190C
YDR145W	YER148W
YBR081C	YGL112C
YBR160W	YJL157C
YAR019C	YML064C
YDR356W	YKL042W
YGR082W	YNL131W
YER148W	YPL129W
YLR310C	YNL098C
YGR188C	YOR026W
YDR167W	YPL011C
YIL004C	YLR026C
YDL140C	YGR104C
YNL330C	YOL004W
YLR071C	YOL051W
YCR042C	YER148W
YJR032W	YPL240C
YEL002C	YJL002C
YEL020WA	YHR005CA
YBR198C	YMR236W
YIL004C	YLR078C
YGR186W	YPL129W
YBR081C	YDR145W
YBR081C	YMR236W
YDL140C	YJL140W
YLR337C	YOR181W
YJR076C	YLR314C
YDL097C	YDL147W
YBR160W	YJL194W
YBR009C	YLR442C
YGR252W	YMR223W
YGR274C	YPL011C
YDR145W	YDR448W
YDL008W	YKL022C
YHR099W	YOR244W
YDL132W	YOL133W
YLL036C	YLL036C
YDR392W	YDR448W
YFL008W	YJL074C
YLR442C	YNL216W
YDR167W	YGR252W
YGL112C	YOL148C
YMR203W	YNL131W
YGL172W	YJL041W
YGL212W	YOR106W
YDL140C	YJL168C
YER165W	YGR162W
YGR120C	YPR105C
YDR145W	YMR005W
YBR081C	YHR099W
YBR087W	YJR068W
YDL029W	YJR065C
YHR084W	YPL049C
YKL129C	YOR181W
YAL041W	YLR229C
YDL140C	YGL070C
YBR010W	YLR442C
YGR274C	YPL129W
YCR093W	YNR052C
YBR114W	YJR052W
YDR303C	YLR357W
YER107C	YMR047C
YIL068C	YPR055W
YER118C	YJL128C
YGR162W	YOL139C
YCR052W	YLR357W
YDR113C	YGR098C
YGR274C	YMR005W
YFR034C	YOL001W
YEL002C	YMR149W
YGL116W	YJL030W
YIL004C	YIL109C
YDL140C	YDR404C
YDL209C	YLL036C
YBR279W	YOL145C
YFL036W	YMR228W
YDR468C	YOL018C
YBR034C	YDR432W
YMR109W	YOR181W
YMR146C	YMR309C
YIL004C	YPR181C
YDL140C	YGL130W
YLR008C	YNR017W
YER146W	YJL124C
YIR025W	YKL022C
YDR388W	YMR192W
YDR129C	YFL039C
YAL043C	YKL059C
YDL140C	YPR086W
YDR392W	YER148W
YBR079C	YMR309C
YJR090C	YPL256C
YEL037C	YER162C
YKL068W	YLR347C
YLR071C	YNR010W
YCR052W	YIL126W
YML064C	YMR055C
YJR068W	YNL290W
YDR167W	YMR236W
YDL043C	YJL203W
YDR214W	YPL240C
YGL112C	YMR236W
YER018C	YIL144W
YDR228C	YMR061W
YAL041W	YOR212W
YIL021W	YOR151C
YGR040W	YHR084W
YDL225W	YJR076C
YBR279W	YLR418C
YLR197W	YOR310C
YPL237W	YPR041W
YDR167W	YML114C
YGL058W	YGR184C
YER016W	YPL269W
YKL196C	YLR026C
YAL041W	YJL157C
YAL043C	YKR002W
YLR357W	YMR033W
YDR088C	YGR006W
YGR274C	YMR236W
YHL031C	YLR026C
YGL003C	YPR119W
YEL037C	YGL048C
YHR107C	YLR314C
YBR155W	YPL240C
YAL034WA	YIR010W
YDR328C	YOR057W
YLR216C	YPL240C
YLR229C	YNL271C
YGR274C	YML015C
YDR138W	YNL139C
YHR107C	YHR107C
YMR146C	YNL244C
YER022W	YLR071C
YAL043C	YER133W
YDR429C	YOR361C
YLR337C	YMR109W
YDR228C	YGL044C
YGL150C	YJL081C
YKR101W	YML065W
YDL140C	YLR071C
YDR392W	YGL112C
YDR016C	YGL061C
YLR384C	YPL086C
YFR037C	YIL126W
YKL058W	YOR194C
YDR224C	YDR225W
YDR227W	YNL216W
YDR260C	YKL022C
YKR008W	YLR357W
YLR071C	YOL135C
YKL006CA	YLR026C
YHR085W	YHR197W
YKL196C	YOR106W
YIL046W	YNL103W
YBR200W	YLR229C
YDL220C	YDR082W
YFL039C	YLL050C
YDR142C	YGL153W
YDR164C	YMR183C
YAL005C	YNL064C
YAL021C	YCR093W
YAL040C	YBR160W
YAL043C	YLR115W
YDL140C	YPR187W
YOL135C	YOR174W
YDR429C	YMR146C
YJR050W	YLL036C
YDR207C	YJR094C
YDR211W	YLR291C
YKL129C	YLR337C
YDL106C	YDR146C
YKL203C	YNL006W
YNL189W	YOR098C
YDR123C	YOL108C
YCR077C	YER146W
YBR135W	YBR160W
YBR198C	YDR145W
YLR026C	YMR197C
YBR289W	YOR290C
YDR028C	YDR477W
YER173W	YNL290W
YFL024C	YOR244W
YFL034CB	YNL161W
YFL039C	YOR122C
YBR079C	YDR429C
YDR164C	YNR049C
YHR041C	YLR071C
YDR201W	YKR037C
YGL112C	YMR223W
YBR160W	YFL029C
YAL034WA	YPL233W
YIL004C	YPL218W
YIL021W	YOL005C
YAL043C	YLR277C
YIL072W	YLR263W
YBL023C	YEL032W
YJL002C	YOR085W
YJL041W	YJL061W
YGR119C	YJL041W
YER165W	YGL049C
YLR292C	YOR254C
YLR357W	YPR034W
YBR010W	YDR225W
YBR045C	YER133W
YCR066W	YGL058W
YDR167W	YML015C
YML115C	YPL050C
YHR090C	YOR244W
YBR160W	YDL155W
YDR260C	YLR127C
YER112W	YJR022W
YBR198C	YMR005W
YBR217W	YPL149W
YBL016W	YPL049C
YDR388W	YDR388W
YJL034W	YOL031C
YDL235C	YHR206W
YLR288C	YPL194W
YJL112W	YLL001W
YJL157C	YPL256C
YGL048C	YHR027C
YDL047W	YIL153W
YDR211W	YGR083C
YGL244W	YLR418C
YGR002C	YOR244W
YGR005C	YPL129W
YGR040W	YPL049C
YLR079W	YPR119W
YGR103W	YPL093W
YER172C	YJR022W
YFL009W	YJL194W
YDR448W	YPL254W
YFL039C	YOR181W
YLR418C	YOL145C
YDR480W	YGR040W
YDR118W	YGL240W
YDR138W	YML062C
YDR142C	YHR160C
YDR145W	YMR223W
YEL002C	YGL022W
YDR192C	YGR218W
YDL084W	YDR138W
YDL097C	YDR427W
YDL134C	YMR028W
YBL007C	YOR181W
YDL225W	YHR107C
YBL050W	YLR093C
YBL052C	YPL129W
YBR009C	YDR225W
YJR066W	YNL006W
YBR087W	YER173W
YJR076C	YJR076C
YBR088C	YJR043C
YHR027C	YKL145W
YDR167W	YML098W
YDL035C	YER020W
YMR117C	YOL069W
YDL047W	YMR028W
YKL079W	YOR326W
YMR198W	YPR141C
YKR068C	YML077W
YER070W	YML058W
YIL004C	YLR268W
YDR308C	YLR071C
YLL036C	YLR117C
YGR002C	YHR090C
YBR198C	YMR223W
YDR381W	YPL169C
YGR104C	YHR041C
YDR388W	YLR144C
YOR341W	YPR010C
YCR009C	YMR232W
YFL039C	YGL150C
YFR002W	YGL172W
YJR053W	YMR055C
YCR088W	YNL094W
YBR088C	YDR097C
YJR094C	YMR139W
YDR176W	YMR223W
YDR181C	YMR127C
YHR077C	YMR080C
YGL105W	YGL245W
YDR260C	YHR166C
YER040W	YNL229C
YDL132W	YDR139C
YBR198C	YLR055C
YLR079W	YPR120C
YBL016W	YLR362W
YLR115W	YNL222W
YBR279W	YOR123C
YER172C	YKL173W
YGR233C	YPL031C
YDR480W	YHR084W
YMR043W	YNL068C
YEL036C	YPL050C
YBR133C	YJL187C
YHR124W	YJL106W
YAL030W	YGR009C
YNL216W	YPL075W
YBR200W	YJL157C
YLR113W	YOR208W
YER148W	YMR005W
YOR361C	YOR361C
YDR432W	YMR216C
YDR448W	YEL009C
YGL022W	YOR085W
YBR135W	YPR119W
YER012W	YPR103W
YDR260C	YNL172W
YER093C	YKL203C
YBR202W	YEL032W
YDR356W	YPL124W
YDL185W	YOR270C
YLR071C	YPR070W
YDR378C	YJL124C
YBR279W	YGL244W
YOR174W	YPR070W
YLR229C	YOR127W
YJL081C	YOR244W
YLR291C	YOR260W
YDR448W	YMR236W
YJL176C	YOR290C
YJR007W	YOR260W
YBR081C	YPL254W
YHR027C	YHR200W
YDR176W	YMR236W
YGL105W	YGR264C
YMR127C	YOR213C
YHR166C	YLR127C
YKL203C	YMR068W
YAL030W	YPL232W
YDR260C	YIR025W
YDR356W	YNL126W
YDL208W	YHR089C
YBL026W	YJR022W
YBL084C	YDR118W
YFL009W	YOL133W
YDR118W	YIR025W
YDR145W	YMR236W
YHR005C	YLR452C
YJR068W	YOL094C
YDR176W	YGR252W
YEL032W	YLR274W
YBR136W	YNL312W
YMR167W	YOR033C
YKL117W	YPL240C
YGL150C	YOR141C
YBR160W	YGL003C
YDL108W	YDL140C
YGL212W	YMR197C
YGR002C	YNL107W
YIR010W	YJR112W
YDR378C	YLR438CA
YBR278W	YDR121W
YLR166C	YPR055W
YJL050W	YOL115W
YLR212C	YNL126W
YDR016C	YKR037C
YER172C	YHR165C
YBL084C	YLR127C
YDR448W	YPL047W
YJL124C	YLR438CA
YDR142C	YDR244W
YHL025W	YPL129W
YDR510W	YLR314C
YML062C	YNL139C
YDL014W	YOR310C
YDL029W	YIL062C
YKL042W	YKL042W
YDR260C	YOR249C
YHR200W	YKL145W
YGR063C	YML010W
YBL023C	YDL017W
YOL145C	YOR123C
YBR289W	YEL009C
YER172C	YPR178W
YCL063W	YOR326W
YBR009C	YLR399C
YHL025W	YJL176C
YJR074W	YLR293C
YGL098W	YOR075W
YDR211W	YKR026C
YBR160W	YLR079W
YAL041W	YGR152C
YGL244W	YOL145C
YLR078C	YLR268W
YJL006C	YKL139W
YDL232W	YOR085W
YER172C	YOR308C
YBL084C	YDR260C
YPL042C	YPL248C
YBR010W	YGR252W
YGR274C	YML098W
YGL061C	YGR113W
YDR225W	YKR048C
YGL150C	YPL129W
YDL097C	YFR004W
YDL140C	YGR005C
YAL043C	YNL222W
YDL140C	YML010W
YDL140C	YOR224C
YER110C	YLR293C
YBR193C	YLR071C
YIL109C	YPL218W
YDR334W	YGR002C
YBL014C	YJL025W
YBL050W	YMR197C
YDR394W	YOR117W
YJL061W	YMR047C
YER173W	YJR068W
YDR054C	YLR079W
YLR378C	YOR254C
YJL168C	YOR151C
YDR118W	YDR260C
YBR081C	YGR252W
YJR093C	YKR002W
YGL048C	YPL248C
YDL059C	YML032C
YER012W	YHR200W
YHR187W	YPL086C
YGL223C	YGR120C
YAL043C	YDR195W
YBR171W	YOR254C
YBR195C	YPR018W
YBR202W	YJL194W
YLR071C	YPR168W
YBL016W	YDR480W
YDL195W	YLR208W
YBL023C	YPR019W
YER148W	YML098W
YDR016C	YGR113W
YBL105C	YPR165W
YFL039C	YNL138W
YDR477W	YGL035C
YCR077C	YJL124C
YDR145W	YPL254W
YDR166C	YPR055W
YHR058C	YLR071C
YER025W	YPR041W
YDR260C	YLR102C
YIR006C	YNL084C
YJL001W	YPR103W
YOR069W	YOR132W
YDR027C	YDR484W
YJL104W	YNR017W
YDR448W	YHR099W
YFL037W	YOR265W
YDR477W	YER027C
YCR042C	YGR274C
YGR274C	YML114C
YJR006W	YJR043C
YBR081C	YOL148C
YJR068W	YOR217W
YBR088C	YOL090W
YDR168W	YPL240C
YMR094W	YMR168C
YGL150C	YPL235W
YIL063C	YLR293C
YDR334W	YJL081C
YOL001W	YPL031C
YER148W	YMR236W
YIR025W	YOR249C
YGR103W	YOR272W
YBR278W	YPR175W
YJL020C	YOR181W
YDR388W	YNL094W
YDL232W	YGL022W
YDR392W	YPL047W
YDR394W	YOR259C
YDR448W	YGL066W
YCR042C	YDR167W
YGR252W	YPL047W
YFR002W	YMR153W
YJL187C	YMR001C
YLR442C	YLR442C
YDR507C	YLR314C
YJR022W	YMR268C
YCR077C	YDR378C
YFR036W	YHR166C
YJR042W	YMR047C
YCR093W	YDL165W
YEL002C	YER087CB
YJR104C	YMR038C
YDR167W	YMR223W
YBR154C	YOR341W
YDR225W	YGL241W
YAL021C	YDL165W
YER029C	YER172C
YKR002W	YNL222W
YBR160W	YNL309W
YIL022W	YOR232W
YGL241W	YKR048C
YAL047C	YHR172W
YIL062C	YJR065C
YIL115C	YLR347C
YBR234C	YDL029W
YIR010W	YPL233W
YBL025W	YLR141W
YDL225W	YDR510W
YDR388W	YFL039C
YBR289W	YHL025W
YBL050W	YLR026C
YCL014W	YPR119W
YDR394W	YHR027C
YER172C	YGR091W
YDR027C	YOL018C
YDR440W	YNL031C
YFL024C	YJL081C
YFR002W	YJL041W
YFR004W	YOR261C
YBR079C	YPR041W
YHL025W	YNR023W
YDR510W	YNL088W
YJR075W	YPL050C
YDR176W	YER148W
YDR176W	YPL047W
YHR069C	YHR081W
YDR190C	YDR334W
YGL095C	YOL018C
YGL112C	YPL248C
YHR119W	YKL018W
YGL153W	YGL153W
YDL097C	YOR261C
YBR160W	YHR118C
YHR187W	YKL110C
YDR283C	YGL195W
YER070W	YER070W
YER082C	YJR002W
YAL043C	YKL018W
YGL244W	YOR123C
YBR188C	YPR101W
YAR002W	YLR347C
YGR005C	YGR104C
YBR198C	YEL009C
YAR007C	YBR136W
YBR200W	YER114C
YAR019C	YGR092W
YIL115C	YJL061W
YDR334W	YNL107W
YDL161W	YGL206C
YER133W	YFR003C
YIL129C	YNL161W
YLR071C	YOR174W
YOL072W	YOR257W
YJL029C	YKR020W
YER172C	YLR275W
YCR002C	YJR076C
YGR218W	YLR293C
YFL039C	YFL039C
YJL128C	YNR031C
YLR438CA	YNL147W
YDR118W	YLR127C
YCR057C	YLR409C
YBR079C	YMR146C
YJR053W	YMR001C
YBR081C	YPL047W
YHL031C	YKL006CA
YCR088W	YNL020C
YJR090C	YOL133W
YML098W	YMR005W
YDL008W	YDR260C
YDR172W	YER165W
YDR176W	YLR055C
YBR127C	YDL185W
YBR130C	YKL130C
YMR223W	YPL047W
YAL021C	YGR092W
YAL029C	YBR130C
YGL172W	YJR042W
YDL116W	YMR047C
YAL043C	YGR156W
YDR308C	YEL009C
YNL188W	YOR257W
YDL140C	YPL042C
YNL248C	YPR010C
YDL155W	YGL003C
YLR033W	YMR033W
YIL139C	YPL167C
YDR359C	YGR002C
YDL185W	YEL051W
YOL094C	YOR144C
YBR254C	YKR068C
YGR103W	YHR052W
YBL026W	YJL124C
YDR390C	YDR510W
YJL065C	YOR304W
YJL080C	YOR198C
YER173W	YOL094C
YDR076W	YER095W
YLR321C	YLR357W
YLR362W	YPL240C
YDR121W	YOR304W
YBR081C	YLR055C
YJR068W	YMR078C
YBR087W	YMR078C
YML069W	YOR123C
YDL005C	YGL025C
YML099C	YMR042W
YDR167W	YMR227C
YDR189W	YIL004C
YHR081W	YOL021C
YHR089C	YLR175W
YHR098C	YPR181C
YER008C	YPR055W
YAL021C	YPR072W
YDL116W	YJR042W
YKR002W	YNL317W
YKR048C	YPR119W
YER054C	YER133W
YKR072C	YML016C
YDL140C	YDR228C
YAL043C	YDR301W
YLL017W	YNL098C
YBR193C	YGR104C
YBR198C	YPL047W
YBR200W	YHL007C
YIL126W	YKR008W
YDR356W	YDR356W
YBR231C	YDR334W
YDL175C	YJL050W
YOL090W	YOR033C
YBL023C	YGL201C
YOL148C	YPL047W
YDR388W	YPR171W
YDR016C	YKL052C
YOR326W	YPL269W
YLR277C	YNL222W
YPL106C	YPL240C
YPL161C	YPR165W
YJL140W	YLR071C
YCR039C	YMR043W
YBR017C	YKL068W
YGR245C	YKR048C
YHR030C	YNL053W
YDR167W	YDR176W
YGL022W	YMR149W
YJR102C	YLR417W
YDR172W	YMR080C
YKL022C	YKL022C
YKL059C	YLR115W
YDR201W	YGR113W
YDL064W	YDR409W
YGL112C	YPL254W
YHR119W	YLR015W
YBR156C	YPL209C
YDL097C	YPR108W
YER022W	YPL248C
YHR187W	YLR384C
YDR301W	YNL317W
YIL021W	YLR071C
YDL140C	YER148W
YGL240W	YLR127C
YDL140C	YOL005C
YDR328C	YJL204C
YER133W	YLR263W
YDR359C	YOR244W
YER136W	YOR089C
YDL192W	YDL226C
YBL023C	YBR202W
YDL208W	YNL124W
YBL023C	YLR103C
YBR279W	YGL207W
YDR016C	YDR201W
YDR416W	YLL036C
YER172C	YPR082C
YDR054C	YDR054C
YBR009C	YBR010W
YGR200C	YKL110C
YLR357W	YML127W
YGR274C	YMR227C
YDR118W	YNL172W
YLR447C	YOR270C
YBR050C	YER133W
YBR081C	YDR392W
YDR145W	YPL047W
YHL031C	YKL196C
YEL002C	YOR085W
YGL061C	YKR037C
YGL070C	YOR151C
YGL090W	YLR265C
YHR099W	YMR236W
YMR223W	YPL254W
YDL097C	YHR027C
YHR186C	YJR066W
YGL180W	YPR049C
YDL132W	YML088W
YER068W	YIL038C
YIL004C	YKL196C
YBR160W	YPR120C
YIL021W	YPR187W
YER095W	YJL092W
YDL140C	YPL129W
YNL236W	YOL135C
YDR328C	YOL133W
YER125W	YMR275C
YIL126W	YMR091C
YER146W	YER172C
YBR247C	YPL012W
YGR095C	YOL021C
YCL010C	YDR448W
YOR157C	YPR103W
YBL084C	YDL008W
YGR181W	YNR017W
YDR468C	YOR036W
YJL125C	YNL062C
YFL039C	YOR244W
YLR418C	YOR123C
YDR118W	YHR166C
YDR121W	YPR175W
YDR142C	YIL160C
YBR087W	YOR144C
YDL002C	YGL150C
YDR164C	YPL232W
YDR168W	YLR362W
YER006W	YGR103W
YKL068W	YPL169C
YMR167W	YOL090W
YDL077C	YML001W
YMR236W	YPL047W
YDL101C	YML058W
YDR244W	YMR026C
YDL116W	YKL057C
YGR047C	YNL039W
YIL126W	YLR033W
YDR356W	YLR212C
YNR010W	YOR174W
YDL188C	YGL190C
YGR092W	YIL106W
YOR057W	YPL240C
YDR392W	YMR223W
YGR120C	YNL041C
YGR129W	YLL036C
YLR256W	YPL240C
YBL079W	YMR153W
YLR277C	YNL317W
YDR060W	YOR206W
YLR337C	YMR032W
YGR200C	YPL101W
YGR218W	YIL115C
YBR010W	YDR440W
YDR473C	YER172C
YLR399C	YOL012C
YDR477W	YGL208W
YGR252W	YNL031C
YJL194W	YPR119W
YDR138W	YHR167W
YFR034C	YFR034C
YCR077C	YLR438CA
YDR510W	YJR076C
YHL025W	YPL016W
YCR093W	YPR072W
YHR041C	YHR058C
YGL066W	YPL047W
YEL037C	YKL145W
YGL092W	YJR042W
YBR123C	YGR047C
YKL059C	YLR277C
YDR201W	YKL052C
YDR211W	YPL237W
YGL112C	YMR005W
YDL064W	YDR510W
YAL005C	YNL007C
YGL116W	YPR119W
YDL098C	YER172C
YDL116W	YGL092W
YDL132W	YIL046W
YGL233W	YLR166C
YDL140C	YHR058C
YBR179C	YDR470C
YAL051W	YOR363C
YDR311W	YPR056W
YAR002W	YNL189W
YDR334W	YOL012C
YLR055C	YOL148C
YER148W	YGL241W
YBL023C	YLR274W
YGR104C	YHR058C
YDR388W	YPL249C
YCL010C	YPL047W
YDR027C	YKR020W
YPL047W	YPL254W
YCR002C	YLR314C
YDR092W	YLR032W
YFR002W	YGR119C
YDR484W	YJL029C
YCR057C	YJL069C
YDR118W	YOR249C
YCR088W	YNL106C
YDL005C	YOR174W
YDR510W	YPR180W
YGL025C	YOL051W
YBR108W	YDR388W
YEL009C	YMR236W
YDR181C	YOR213C
YDL029W	YOR181W
YGL090W	YOR005C
YDR192C	YLR347C
YER006W	YLR002C
YMR117C	YMR117C
YGL112C	YPL047W
YMR197C	YOL018C
YMR224C	YMR224C
YDL097C	YHR200W
YDR246W	YKR068C
YHR197W	YNL182C
YGL207W	YOR123C
YBR160W	YOR372C
YDR311W	YLR005W
YGL252C	YNL076W
YBR198C	YML015C
YBR217W	YHR171W
YOL038W	YPR103W
YER146W	YLR438CA
YLR113W	YLR248W
YLR115W	YNL317W
YIR017C	YNL103W
YLR141W	YMR270C
YJL025W	YML043C
YER164W	YML069W
YJL090C	YKL108W
YOR340C	YOR341W
YDR432W	YOR160W
YJL104W	YLR008C
YBR009C	YGR252W
YFL038C	YOR370C
YDR103W	YGR040W
YLR442C	YNL030W
YFR024CA	YOR181W
YBR081C	YMR223W
YCR088W	YIL095W
YCR093W	YER068W
YGL025C	YHR058C
YDL007W	YHR027C
YBR107C	YDR254W
YJR135WA	YNR017W
YBR109C	YNR035C
YDL029W	YLR370C
YGL075C	YMR117C
YHR081W	YOR001W
YMR078C	YNL290W
YER006W	YPL093W
YGL112C	YGR252W
YHR114W	YOR181W
YDL084W	YDR381W
YAL016W	YDL134C
YAL021C	YER068W
YDR244W	YNL214W
YGL172W	YGR119C
YNL006W	YOL078W
YDR334W	YFL039C
YIL126W	YLR321C
YDL188C	YMR028W
YOL021C	YOR001W
YDL195W	YPR181C
YIR012W	YLR075W
YIR025W	YLR127C
YGR113W	YKR037C
YLR191W	YMR026C
YDR028C	YDR099W
YFL016C	YJR045C
YPL248C	YPR086W
YDR468C	YKR020W
YDR477W	YJL089W
YDR507C	YKR048C
YJR022W	YLR438CA
YJR102C	YPL002C
YDR167W	YMR005W
YJR112W	YPL233W
YDR190C	YGL150C
YDL077C	YDR080W
YDL106C	YKR099W
YDL108W	YPR025C
YKL203C	YOL078W
YBR160W	YJL187C
YDL116W	YGL100W
YKR026C	YOR260W
YDL132W	YJL149W
YKR068C	YOR115C
YNL107W	YOR244W
YDR308C	YOL135C
YBR193C	YGL025C
YGR002C	YJL081C
YNL244C	YOR361C
YDR334W	YPL235W
YGR056W	YIL126W
YNR003C	YPR190C
YBL007C	YHR016C
YLR055C	YPL047W
YDR369C	YNL250W
YBR257W	YNL282W
YER172C	YGR074W
YER172C	YLR438CA
YBL084C	YHR166C
YDR054C	YFL009W
YBR017C	YGL122C
YBR034C	YOL123W
YBR055C	YER172C
YDR145W	YDR392W
YDR145W	YLR055C
YFR052W	YHR200W
YHR016C	YOR181W
YHR027C	YIL075C
YBR098W	YDR386W
YDR166C	YLR166C
YGL022W	YJL002C
YGL025C	YOL135C
YDR167W	YPL047W
YGL044C	YGR047C
YDR176W	YOL148C
YDL030W	YDL043C
YMR047C	YPL169C
YDR190C	YPL235W
YGL092W	YGL100W
YHR090C	YNL107W
YMR153W	YMR308C
YER022W	YOL135C
YMR240C	YOR319W
YDR265W	YMR026C
YDR283C	YDR283C
YHR197W	YPL093W
YAL034WA	YJR112W
YNL064C	YPL240C
YHR206W	YHR206W
YGL213C	YPR189W
YAL043C	YJR093C
YBR175W	YHR119W
YDL140C	YKL110C
YBR200W	YDR103W
YNL271C	YOR122C
YDR356W	YHR172W
YDR356W	YNL225C
YER136W	YML001W
YDR378C	YER146W
YOR085W	YOR103C
YDR388W	YJR083C
YBL050W	YBR080C
YCL010C	YGL112C
YBL078C	YHR171W
YDR427W	YOR261C
YFL005W	YNL272C
YPL085W	YPR181C
YDR085C	YHR107C
YFL026W	YHR005C
YJL115W	YPL153C
YCR057C	YLR222C
YDR123C	YHL020C
YDR142C	YLR191W
YDR145W	YHR099W
YGL003C	YKL101W
YDL005C	YLR071C
YJR093C	YNL317W
YDL014W	YLR197W
YEL026W	YER172C
YEL037C	YPL096W
YGL086W	YJL030W
YMR078C	YOL094C
Q0085	YPL078C
YKL074C	YLR116W
YBR136W	YPL153C
YMR167W	YPL164C
YMR203W	YNL121C
YAL016W	YDL188C
YMR223W	YMR236W
YDR228C	YOR250C
YKL172W	YOR294W
YDR260C	YDR260C
YDR280W	YOL021C
YDR308C	YPR168W
YER094C	YPR103W
YAR003W	YHR119W
YBR198C	YPL254W
YDR328C	YMR168C
YNL248C	YOR340C
YDL175C	YOL115W
YER136W	YFL005W
